NAME,BOOK
Phileas Fogg,Around the World in Eighty Days
Jean Passepartout,Around the World in Eighty Days
Detective Fix,Around the World in Eighty Days
Aouda,Around the World in Eighty Days
Mr. Stuart,Around the World in Eighty Days
Mr. Ralph,Around the World in Eighty Days
Mr. Wilson,Around the World in Eighty Days
Sir Francis Cromarty,Around the World in Eighty Days
Captain Andrew Speedy,Around the World in Eighty Days
Axel,A Journey to the Centre of the Earth
Otto Lidenbrok,A Journey to the Centre of the Earth
Hans Bjelke,A Journey to the Centre of the Earth
Grauben,A Journey to the Centre of the Earth
Martha,A Journey to the Centre of the Earth
Arne Saknussemm,A Journey to the Centre of the Earth
Snorre Turleson,A Journey to the Centre of the Earth
Mr. Fridriksson,A Journey to the Centre of the Earth
Baron Trample,A Journey to the Centre of the Earth
Mr. Finson,A Journey to the Centre of the Earth
Milne Edwards,A Journey to the Centre of the Earth
Quatrefagues,A Journey to the Centre of the Earth
Jules Verne,Author
Professor Pierre Aronnax,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World
Ned Land,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World
Conseil,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World
Captain Nemo,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World
,
